CMDLINE bash run/visualize_trained_policies.sh
MEM 3.750000 1730107662.0299
MEM 3.750000 1730107662.1304
MEM 3.750000 1730107662.2308
MEM 3.750000 1730107662.3312
MEM 3.750000 1730107662.4317
MEM 3.750000 1730107662.5321
MEM 3.750000 1730107662.6325
MEM 3.750000 1730107662.7336
MEM 3.750000 1730107662.8341
MEM 3.750000 1730107662.9346
MEM 3.750000 1730107663.0350
MEM 3.750000 1730107663.1354
MEM 3.750000 1730107663.2358
MEM 3.750000 1730107663.3361
MEM 3.750000 1730107663.4365
MEM 3.750000 1730107663.5369
MEM 3.750000 1730107663.6374
MEM 3.750000 1730107663.7378
MEM 3.750000 1730107663.8382
MEM 3.750000 1730107663.9387
MEM 3.750000 1730107664.0393
MEM 3.750000 1730107664.1397
MEM 3.750000 1730107664.2402
MEM 3.750000 1730107664.3406
MEM 3.750000 1730107664.4411
MEM 3.750000 1730107664.5415
MEM 3.750000 1730107664.6419
MEM 3.750000 1730107664.7424
MEM 3.750000 1730107664.8428
MEM 3.750000 1730107664.9432
MEM 3.750000 1730107665.0436
MEM 3.750000 1730107665.1440
MEM 3.750000 1730107665.2444
MEM 3.750000 1730107665.3448
MEM 3.750000 1730107665.4453
MEM 3.750000 1730107665.5457
MEM 3.750000 1730107665.6461
MEM 3.750000 1730107665.7465
MEM 3.750000 1730107665.8469
MEM 3.750000 1730107665.9474
MEM 3.750000 1730107666.0479
MEM 3.750000 1730107666.1484
MEM 3.750000 1730107666.2490
MEM 3.750000 1730107666.3494
MEM 3.750000 1730107666.4497
MEM 3.750000 1730107666.5501
MEM 3.750000 1730107666.6505
MEM 3.750000 1730107666.7513
MEM 3.750000 1730107666.8517
MEM 3.750000 1730107666.9520
MEM 3.750000 1730107667.0525
MEM 3.750000 1730107667.1529
MEM 3.750000 1730107667.2533
MEM 3.750000 1730107667.3537
MEM 3.750000 1730107667.4540
MEM 3.750000 1730107667.5544
MEM 3.750000 1730107667.6548
MEM 3.750000 1730107667.7553
MEM 3.750000 1730107667.8557
MEM 3.750000 1730107667.9561
MEM 3.750000 1730107668.0565
MEM 3.750000 1730107668.1568
MEM 3.750000 1730107668.2573
MEM 3.750000 1730107668.3576
MEM 3.750000 1730107668.4581
MEM 3.750000 1730107668.5585
MEM 3.750000 1730107668.6590
MEM 3.750000 1730107668.7594
MEM 3.750000 1730107668.8597
MEM 3.750000 1730107668.9601
MEM 3.750000 1730107669.0605
MEM 3.750000 1730107669.1609
MEM 3.750000 1730107669.2613
MEM 3.750000 1730107669.3617
MEM 3.750000 1730107669.4621
MEM 3.750000 1730107669.5626
MEM 3.750000 1730107669.6630
MEM 3.750000 1730107669.7634
MEM 3.750000 1730107669.8638
MEM 3.750000 1730107669.9643
MEM 3.750000 1730107670.0647
MEM 3.750000 1730107670.1651
MEM 3.750000 1730107670.2655
MEM 3.750000 1730107670.3660
MEM 3.750000 1730107670.4665
MEM 3.750000 1730107670.5669
MEM 3.750000 1730107670.6674
MEM 3.750000 1730107670.7678
MEM 3.750000 1730107670.8682
MEM 3.750000 1730107670.9687
MEM 3.750000 1730107671.0692
MEM 3.750000 1730107671.1696
MEM 3.750000 1730107671.2700
MEM 3.750000 1730107671.3706
MEM 3.750000 1730107671.4710
MEM 3.750000 1730107671.5715
MEM 3.750000 1730107671.6720
MEM 3.750000 1730107671.7723
MEM 3.750000 1730107671.8728
MEM 3.750000 1730107671.9732
MEM 3.750000 1730107672.0736
MEM 3.750000 1730107672.1740
MEM 3.750000 1730107672.2744
MEM 3.750000 1730107672.3749
MEM 3.750000 1730107672.4754
MEM 3.750000 1730107672.5757
MEM 3.750000 1730107672.6762
MEM 3.750000 1730107672.7766
MEM 3.750000 1730107672.8770
MEM 3.750000 1730107672.9775
MEM 3.750000 1730107673.0778
MEM 3.750000 1730107673.1783
MEM 3.750000 1730107673.2787
MEM 3.750000 1730107673.3791
MEM 3.750000 1730107673.4795
MEM 3.750000 1730107673.5799
MEM 3.750000 1730107673.6803
MEM 3.750000 1730107673.7807
MEM 3.750000 1730107673.8812
MEM 3.750000 1730107673.9815
MEM 3.750000 1730107674.0819
MEM 3.750000 1730107674.1822
MEM 3.750000 1730107674.2826
MEM 3.750000 1730107674.3830
MEM 3.750000 1730107674.4834
MEM 3.750000 1730107674.5838
MEM 3.750000 1730107674.6842
MEM 3.750000 1730107674.7847
MEM 3.750000 1730107674.8851
MEM 3.750000 1730107674.9854
MEM 3.750000 1730107675.0858
MEM 3.750000 1730107675.1862
MEM 3.750000 1730107675.2866
MEM 3.750000 1730107675.3870
MEM 3.750000 1730107675.4875
MEM 3.750000 1730107675.5879
MEM 3.750000 1730107675.6883
MEM 3.750000 1730107675.7887
MEM 3.750000 1730107675.8892
MEM 3.750000 1730107675.9896
MEM 3.750000 1730107676.0900
MEM 3.750000 1730107676.1904
MEM 3.750000 1730107676.2908
MEM 3.750000 1730107676.3914
MEM 3.750000 1730107676.4919
MEM 3.750000 1730107676.5923
MEM 3.750000 1730107676.6927
MEM 3.750000 1730107676.7931
MEM 3.750000 1730107676.8934
MEM 3.750000 1730107676.9938
MEM 3.750000 1730107677.0942
MEM 3.750000 1730107677.1946
MEM 3.750000 1730107677.2951
MEM 3.750000 1730107677.3956
MEM 3.750000 1730107677.4960
MEM 3.750000 1730107677.5963
MEM 3.750000 1730107677.6967
MEM 3.750000 1730107677.7970
MEM 3.750000 1730107677.8973
MEM 3.750000 1730107677.9975
MEM 3.750000 1730107678.0979
MEM 3.750000 1730107678.1982
MEM 3.750000 1730107678.2985
MEM 3.750000 1730107678.3992
MEM 3.750000 1730107678.4994
MEM 3.750000 1730107678.5997
MEM 3.750000 1730107678.7000
MEM 3.750000 1730107678.8004
MEM 3.750000 1730107678.9008
MEM 3.750000 1730107679.0012
MEM 3.750000 1730107679.1016
MEM 3.750000 1730107679.2019
MEM 3.750000 1730107679.3022
MEM 3.750000 1730107679.4026
MEM 3.750000 1730107679.5030
MEM 3.750000 1730107679.6034
MEM 3.750000 1730107679.7038
MEM 3.750000 1730107679.8062
MEM 3.750000 1730107679.9065
MEM 3.750000 1730107680.0068
MEM 3.750000 1730107680.1072
MEM 3.750000 1730107680.2076
MEM 3.750000 1730107680.3080
MEM 3.750000 1730107680.4085
MEM 3.750000 1730107680.5089
MEM 3.750000 1730107680.6094
MEM 3.750000 1730107680.7098
MEM 3.750000 1730107680.8103
MEM 3.750000 1730107680.9107
MEM 3.750000 1730107681.0111
MEM 3.750000 1730107681.1113
MEM 3.750000 1730107681.2117
MEM 3.750000 1730107681.3122
MEM 3.750000 1730107681.4126
MEM 3.750000 1730107681.5130
MEM 3.750000 1730107681.6134
MEM 3.750000 1730107681.7138
MEM 3.750000 1730107681.8142
MEM 3.750000 1730107681.9147
MEM 3.750000 1730107682.0151
MEM 3.750000 1730107682.1155
MEM 3.750000 1730107682.2159
MEM 3.750000 1730107682.3163
MEM 3.750000 1730107682.4168
MEM 3.750000 1730107682.5172
MEM 3.750000 1730107682.6176
MEM 3.750000 1730107682.7180
MEM 3.750000 1730107682.8184
MEM 3.750000 1730107682.9189
MEM 3.750000 1730107683.0193
MEM 3.750000 1730107683.1198
MEM 3.750000 1730107683.2203
MEM 3.750000 1730107683.3207
MEM 3.750000 1730107683.4211
MEM 3.750000 1730107683.5215
MEM 3.750000 1730107683.6219
MEM 3.750000 1730107683.7223
MEM 3.750000 1730107683.8227
MEM 3.750000 1730107683.9232
MEM 3.750000 1730107684.0236
MEM 3.750000 1730107684.1240
MEM 3.750000 1730107684.2244
MEM 3.750000 1730107684.3248
MEM 3.750000 1730107684.4253
MEM 3.750000 1730107684.5258
MEM 3.750000 1730107684.6262
MEM 3.750000 1730107684.7266
MEM 3.750000 1730107684.8270
MEM 3.750000 1730107684.9274
MEM 3.750000 1730107685.0278
MEM 3.750000 1730107685.1283
MEM 3.750000 1730107685.2286
MEM 3.750000 1730107685.3289
MEM 3.750000 1730107685.4293
MEM 3.750000 1730107685.5297
MEM 3.750000 1730107685.6301
MEM 3.750000 1730107685.7307
MEM 3.750000 1730107685.8311
MEM 3.750000 1730107685.9314
MEM 3.750000 1730107686.0319
MEM 3.750000 1730107686.1323
MEM 3.750000 1730107686.2327
MEM 3.750000 1730107686.3330
MEM 3.750000 1730107686.4334
MEM 3.750000 1730107686.5338
MEM 3.750000 1730107686.6343
MEM 3.750000 1730107686.7347
MEM 3.750000 1730107686.8350
MEM 3.750000 1730107686.9353
MEM 3.750000 1730107687.0355
MEM 3.750000 1730107687.1358
MEM 3.750000 1730107687.2362
MEM 3.750000 1730107687.3365
MEM 3.750000 1730107687.4367
MEM 3.750000 1730107687.5371
MEM 3.750000 1730107687.6374
MEM 3.750000 1730107687.7377
MEM 3.750000 1730107687.8382
MEM 3.750000 1730107687.9386
MEM 3.750000 1730107688.0390
MEM 3.750000 1730107688.1395
MEM 3.750000 1730107688.2398
MEM 3.750000 1730107688.3403
MEM 3.750000 1730107688.4407
MEM 3.750000 1730107688.5412
MEM 3.750000 1730107688.6416
MEM 3.750000 1730107688.7420
MEM 3.750000 1730107688.8424
MEM 3.750000 1730107688.9429
MEM 3.750000 1730107689.0433
MEM 3.750000 1730107689.1438
MEM 3.750000 1730107689.2443
MEM 3.750000 1730107689.3447
MEM 3.750000 1730107689.4450
MEM 3.750000 1730107689.5454
MEM 3.750000 1730107689.6458
MEM 3.750000 1730107689.7462
MEM 3.750000 1730107689.8465
MEM 3.750000 1730107689.9469
MEM 3.750000 1730107690.0472
MEM 3.750000 1730107690.1476
MEM 3.750000 1730107690.2480
MEM 3.750000 1730107690.3483
MEM 3.750000 1730107690.4487
MEM 3.750000 1730107690.5492
MEM 3.750000 1730107690.6496
MEM 3.750000 1730107690.7501
MEM 3.750000 1730107690.8505
MEM 3.750000 1730107690.9510
MEM 3.750000 1730107691.0514
MEM 3.750000 1730107691.1518
MEM 3.750000 1730107691.2522
MEM 3.750000 1730107691.3526
MEM 3.750000 1730107691.4530
MEM 3.750000 1730107691.5534
MEM 3.750000 1730107691.6538
MEM 3.750000 1730107691.7542
MEM 3.750000 1730107691.8546
MEM 3.750000 1730107691.9551
MEM 3.750000 1730107692.0555
MEM 3.750000 1730107692.1559
MEM 3.750000 1730107692.2564
MEM 3.750000 1730107692.3567
MEM 3.750000 1730107692.4571
MEM 3.750000 1730107692.5574
MEM 3.750000 1730107692.6578
MEM 3.750000 1730107692.7581
MEM 3.750000 1730107692.8587
MEM 3.750000 1730107692.9591
MEM 3.750000 1730107693.0593
MEM 3.750000 1730107693.1598
MEM 3.750000 1730107693.2602
MEM 3.750000 1730107693.3606
MEM 3.750000 1730107693.4610
MEM 3.750000 1730107693.5614
MEM 3.750000 1730107693.6619
MEM 3.750000 1730107693.7623
MEM 3.750000 1730107693.8627
MEM 3.750000 1730107693.9632
MEM 3.750000 1730107694.0637
MEM 3.750000 1730107694.1641
MEM 3.750000 1730107694.2645
MEM 3.750000 1730107694.3649
MEM 3.750000 1730107694.4653
MEM 3.750000 1730107694.5657
MEM 3.750000 1730107694.6661
MEM 3.750000 1730107694.7665
MEM 3.750000 1730107694.8669
MEM 3.750000 1730107694.9673
MEM 3.750000 1730107695.0677
MEM 3.750000 1730107695.1681
MEM 3.750000 1730107695.2685
MEM 3.750000 1730107695.3690
MEM 3.750000 1730107695.4695
MEM 3.750000 1730107695.5699
MEM 3.750000 1730107695.6704
MEM 3.750000 1730107695.7708
MEM 3.750000 1730107695.8712
MEM 3.750000 1730107695.9717
MEM 3.750000 1730107696.0721
MEM 3.750000 1730107696.1725
MEM 3.750000 1730107696.2730
MEM 3.750000 1730107696.3735
MEM 3.750000 1730107696.4740
MEM 3.750000 1730107696.5745
MEM 3.750000 1730107696.6749
MEM 3.750000 1730107696.7754
MEM 3.750000 1730107696.8757
MEM 3.750000 1730107696.9762
MEM 3.750000 1730107697.0767
MEM 3.750000 1730107697.1771
MEM 3.750000 1730107697.2775
MEM 3.750000 1730107697.3779
MEM 3.750000 1730107697.4784
MEM 3.750000 1730107697.5788
MEM 3.750000 1730107697.6792
MEM 3.750000 1730107697.7796
MEM 3.750000 1730107697.8800
MEM 3.750000 1730107697.9804
MEM 3.750000 1730107698.0809
MEM 3.750000 1730107698.1813
MEM 3.750000 1730107698.2817
MEM 3.750000 1730107698.3822
MEM 3.750000 1730107698.4826
MEM 3.750000 1730107698.5830
MEM 3.750000 1730107698.6833
MEM 3.750000 1730107698.7836
MEM 3.750000 1730107698.8840
MEM 3.750000 1730107698.9844
MEM 3.750000 1730107699.0847
MEM 3.750000 1730107699.1874
MEM 3.750000 1730107699.2877
MEM 3.750000 1730107699.3880
MEM 3.750000 1730107699.4884
MEM 3.750000 1730107699.5888
MEM 3.750000 1730107699.6894
MEM 3.750000 1730107699.7898
MEM 3.750000 1730107699.8902
MEM 3.750000 1730107699.9906
MEM 3.750000 1730107700.0909
MEM 3.750000 1730107700.1911
MEM 3.750000 1730107700.2914
MEM 3.750000 1730107700.3917
MEM 3.750000 1730107700.4921
MEM 3.750000 1730107700.5925
MEM 3.750000 1730107700.6929
MEM 3.750000 1730107700.7933
MEM 3.750000 1730107700.8936
MEM 3.750000 1730107700.9941
MEM 3.750000 1730107701.0946
MEM 3.750000 1730107701.1949
MEM 3.750000 1730107701.2953
MEM 3.750000 1730107701.3956
MEM 3.750000 1730107701.4959
MEM 3.750000 1730107701.5962
MEM 3.750000 1730107701.6967
MEM 3.750000 1730107701.7970
MEM 3.750000 1730107701.8975
MEM 3.750000 1730107701.9979
MEM 3.750000 1730107702.0983
MEM 3.750000 1730107702.1987
MEM 3.750000 1730107702.2991
MEM 3.750000 1730107702.3995
MEM 3.750000 1730107702.4999
MEM 3.750000 1730107702.6003
MEM 3.750000 1730107702.7008
MEM 3.750000 1730107702.8012
MEM 3.750000 1730107702.9016
MEM 3.750000 1730107703.0020
MEM 3.750000 1730107703.1024
MEM 3.750000 1730107703.2027
MEM 3.750000 1730107703.3031
MEM 3.750000 1730107703.4034
MEM 3.750000 1730107703.5037
MEM 3.750000 1730107703.6040
MEM 3.750000 1730107703.7045
MEM 3.750000 1730107703.8048
MEM 3.750000 1730107703.9053
MEM 3.750000 1730107704.0058
MEM 3.750000 1730107704.1063
MEM 3.750000 1730107704.2068
MEM 3.750000 1730107704.3072
MEM 3.750000 1730107704.4076
MEM 3.750000 1730107704.5080
MEM 3.750000 1730107704.6084
MEM 3.750000 1730107704.7088
MEM 3.750000 1730107704.8093
MEM 3.750000 1730107704.9097
MEM 3.750000 1730107705.0101
MEM 3.750000 1730107705.1105
MEM 3.750000 1730107705.2109
MEM 3.750000 1730107705.3114
MEM 3.750000 1730107705.4118
MEM 3.750000 1730107705.5122
MEM 3.750000 1730107705.6126
MEM 3.750000 1730107705.7130
MEM 3.750000 1730107705.8134
MEM 3.750000 1730107705.9137
MEM 3.750000 1730107706.0141
MEM 3.750000 1730107706.1144
MEM 3.750000 1730107706.2148
MEM 3.750000 1730107706.3153
MEM 3.750000 1730107706.4157
MEM 3.750000 1730107706.5162
MEM 3.750000 1730107706.6166
MEM 3.750000 1730107706.7169
MEM 3.750000 1730107706.8173
MEM 3.750000 1730107706.9177
MEM 3.750000 1730107707.0183
MEM 3.750000 1730107707.1187
MEM 3.750000 1730107707.2190
MEM 3.750000 1730107707.3193
MEM 3.750000 1730107707.4196
MEM 3.750000 1730107707.5200
MEM 3.750000 1730107707.6205
MEM 3.750000 1730107707.7210
MEM 3.750000 1730107707.8214
MEM 3.750000 1730107707.9217
MEM 3.750000 1730107708.0221
MEM 3.750000 1730107708.1226
MEM 3.750000 1730107708.2230
MEM 3.750000 1730107708.3234
MEM 3.750000 1730107708.4238
MEM 3.750000 1730107708.5242
MEM 3.750000 1730107708.6246
MEM 3.750000 1730107708.7250
MEM 3.750000 1730107708.8256
MEM 3.750000 1730107708.9260
MEM 3.750000 1730107709.0264
MEM 3.750000 1730107709.1268
MEM 3.750000 1730107709.2273
MEM 3.750000 1730107709.3278
MEM 3.750000 1730107709.4282
MEM 3.750000 1730107709.5286
MEM 3.750000 1730107709.6290
MEM 3.750000 1730107709.7294
MEM 3.750000 1730107709.8299
MEM 3.750000 1730107709.9303
MEM 3.750000 1730107710.0308
MEM 3.750000 1730107710.1312
MEM 3.750000 1730107710.2316
MEM 3.750000 1730107710.3322
MEM 3.750000 1730107710.4326
MEM 3.750000 1730107710.5331
MEM 3.750000 1730107710.6334
MEM 3.750000 1730107710.7337
MEM 3.750000 1730107710.8341
MEM 3.750000 1730107710.9345
MEM 3.750000 1730107711.0349
MEM 3.750000 1730107711.1353
MEM 3.750000 1730107711.2357
MEM 3.750000 1730107711.3362
MEM 3.750000 1730107711.4366
MEM 3.750000 1730107711.5370
MEM 3.750000 1730107711.6374
MEM 3.750000 1730107711.7379
MEM 3.750000 1730107711.8384
MEM 3.750000 1730107711.9388
MEM 3.750000 1730107712.0392
MEM 3.750000 1730107712.1396
MEM 3.750000 1730107712.2400
MEM 3.750000 1730107712.3404
MEM 3.750000 1730107712.4408
MEM 3.750000 1730107712.5412
MEM 3.750000 1730107712.6417
MEM 3.750000 1730107712.7430
MEM 3.750000 1730107712.8434
MEM 3.750000 1730107712.9441
MEM 3.750000 1730107713.0447
MEM 3.750000 1730107713.1453
MEM 3.750000 1730107713.2456
MEM 3.750000 1730107713.3459
MEM 3.750000 1730107713.4463
MEM 3.750000 1730107713.5467
MEM 3.750000 1730107713.6471
MEM 3.750000 1730107713.7475
MEM 3.750000 1730107713.8480
MEM 3.750000 1730107713.9483
MEM 3.750000 1730107714.0486
MEM 3.750000 1730107714.1490
MEM 3.750000 1730107714.2492
MEM 3.750000 1730107714.3495
MEM 3.750000 1730107714.4498
MEM 3.750000 1730107714.5501
MEM 3.750000 1730107714.6505
MEM 3.750000 1730107714.7507
MEM 3.750000 1730107714.8511
MEM 3.750000 1730107714.9514
MEM 3.750000 1730107715.0517
MEM 3.750000 1730107715.1520
MEM 3.750000 1730107715.2523
MEM 3.750000 1730107715.3527
MEM 3.750000 1730107715.4530
MEM 3.750000 1730107715.5534
MEM 3.750000 1730107715.6537
MEM 3.750000 1730107715.7541
MEM 3.750000 1730107715.8544
MEM 3.750000 1730107715.9547
MEM 3.750000 1730107716.0550
MEM 3.750000 1730107716.1553
MEM 3.750000 1730107716.2556
MEM 3.750000 1730107716.3559
MEM 3.750000 1730107716.4563
MEM 3.750000 1730107716.5567
MEM 3.750000 1730107716.6570
MEM 3.750000 1730107716.7573
MEM 3.750000 1730107716.8576
MEM 3.750000 1730107716.9578
MEM 3.750000 1730107717.0581
MEM 3.750000 1730107717.1584
MEM 3.750000 1730107717.2588
MEM 3.750000 1730107717.3591
MEM 3.750000 1730107717.4594
MEM 3.750000 1730107717.5596
MEM 3.750000 1730107717.6600
MEM 3.750000 1730107717.7603
MEM 3.750000 1730107717.8605
MEM 3.750000 1730107717.9608
MEM 3.750000 1730107718.0610
MEM 3.750000 1730107718.1615
MEM 3.750000 1730107718.2619
MEM 3.750000 1730107718.3623
MEM 3.750000 1730107718.4628
MEM 3.750000 1730107718.5631
MEM 3.750000 1730107718.6635
MEM 3.750000 1730107718.7638
MEM 3.750000 1730107718.8641
MEM 3.750000 1730107718.9645
MEM 3.750000 1730107719.0649
MEM 3.750000 1730107719.1653
MEM 3.750000 1730107719.2657
MEM 3.750000 1730107719.3660
MEM 3.750000 1730107719.4664
MEM 3.750000 1730107719.5668
MEM 3.750000 1730107719.6672
MEM 3.750000 1730107719.7676
MEM 3.750000 1730107719.8680
MEM 3.750000 1730107719.9684
MEM 3.750000 1730107720.0688
MEM 3.750000 1730107720.1692
MEM 3.750000 1730107720.2696
MEM 3.750000 1730107720.3700
MEM 3.750000 1730107720.4703
MEM 3.750000 1730107720.5706
MEM 3.750000 1730107720.6708
MEM 3.750000 1730107720.7713
MEM 3.750000 1730107720.8716
MEM 3.750000 1730107720.9720
MEM 3.750000 1730107721.0724
MEM 3.750000 1730107721.1728
MEM 3.750000 1730107721.2733
MEM 3.750000 1730107721.3737
MEM 3.750000 1730107721.4742
MEM 3.750000 1730107721.5747
MEM 3.750000 1730107721.6751
MEM 3.750000 1730107721.7755
MEM 3.750000 1730107721.8759
MEM 3.750000 1730107721.9763
MEM 3.750000 1730107722.0768
MEM 3.750000 1730107722.1771
MEM 3.750000 1730107722.2774
MEM 3.750000 1730107722.3777
MEM 3.750000 1730107722.4782
MEM 3.750000 1730107722.5786
MEM 3.750000 1730107722.6790
MEM 3.750000 1730107722.7794
MEM 3.750000 1730107722.8797
MEM 3.750000 1730107722.9801
MEM 3.750000 1730107723.0805
MEM 3.750000 1730107723.1807
MEM 3.750000 1730107723.2811
MEM 3.750000 1730107723.3814
MEM 3.750000 1730107723.4816
MEM 3.750000 1730107723.5820
MEM 3.750000 1730107723.6823
MEM 3.750000 1730107723.7826
MEM 3.750000 1730107723.8828
MEM 3.750000 1730107723.9832
MEM 3.750000 1730107724.0835
MEM 3.750000 1730107724.1840
MEM 3.750000 1730107724.2844
MEM 3.750000 1730107724.3847
MEM 3.750000 1730107724.4852
MEM 3.750000 1730107724.5856
MEM 3.750000 1730107724.6860
MEM 3.750000 1730107724.7864
MEM 3.750000 1730107724.8869
MEM 3.750000 1730107724.9871
MEM 3.750000 1730107725.0876
MEM 3.750000 1730107725.1880
MEM 3.750000 1730107725.2884
MEM 3.750000 1730107725.3888
MEM 3.750000 1730107725.4892
MEM 3.750000 1730107725.5896
MEM 3.750000 1730107725.6900
MEM 3.750000 1730107725.7904
MEM 3.750000 1730107725.8908
MEM 3.750000 1730107725.9912
MEM 3.750000 1730107726.0916
MEM 3.750000 1730107726.1920
MEM 3.750000 1730107726.2924
MEM 3.750000 1730107726.3928
MEM 3.750000 1730107726.4930
MEM 3.750000 1730107726.5933
MEM 3.750000 1730107726.6937
MEM 3.750000 1730107726.7941
MEM 3.750000 1730107726.8944
MEM 3.750000 1730107726.9948
MEM 3.750000 1730107727.0952
MEM 3.750000 1730107727.1956
MEM 3.750000 1730107727.2960
MEM 3.750000 1730107727.3964
MEM 3.750000 1730107727.4968
MEM 3.750000 1730107727.5971
MEM 3.750000 1730107727.6976
MEM 3.750000 1730107727.7980
MEM 3.750000 1730107727.8983
MEM 3.750000 1730107727.9987
MEM 3.750000 1730107728.0991
MEM 3.750000 1730107728.1993
MEM 3.750000 1730107728.2998
MEM 3.750000 1730107728.4003
MEM 3.750000 1730107728.5007
MEM 3.750000 1730107728.6010
MEM 3.750000 1730107728.7013
MEM 3.750000 1730107728.8015
MEM 3.750000 1730107728.9017
MEM 3.750000 1730107729.0021
MEM 3.750000 1730107729.1024
MEM 3.750000 1730107729.2029
MEM 3.750000 1730107729.3033
MEM 3.750000 1730107729.4036
MEM 3.750000 1730107729.5041
MEM 3.750000 1730107729.6044
MEM 3.750000 1730107729.7049
MEM 3.750000 1730107729.8053
MEM 3.750000 1730107729.9057
